local_time,ros_time_sec,trial_id,answer,is_correct,source,response_time_ms,word,ink,ground_truth,phase,screen,task,topic,raw_message
2026-05-12T13:35:33.721,1778560533.721179247,17,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T13:35:33.722,1778560533.722360849,17,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/result,true
2026-05-12T13:35:33.723,1778560533.723580837,16,true,true,manager,1328,blue,red,blue,word_4colors,3,read_word,/stroop/answer_detail,id=16;answer=true;source=manager;response_time_ms=1328;word=blue;ink=red;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-12T13:35:34.401,1778560534.401090622,17,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T13:35:34.401,1778560534.401900291,17,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/result,true
2026-05-12T13:35:34.403,1778560534.403411627,17,true,true,manager,807,green,red,green,word_4colors,3,read_word,/stroop/answer_detail,id=17;answer=true;source=manager;response_time_ms=807;word=green;ink=red;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-12T13:35:35.497,1778560535.497618198,18,true,true,simple_bool,,red,green,red,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T13:35:35.498,1778560535.498603821,18,true,true,simple_bool,,red,green,red,word_4colors,3,read_word,/stroop/result,true
2026-05-12T13:35:35.507,1778560535.507722616,18,true,true,manager,703,red,green,red,word_4colors,3,read_word,/stroop/answer_detail,id=18;answer=true;source=manager;response_time_ms=703;word=red;ink=green;ground_truth=red;phase=word_4colors;screen=3;task=read_word
2026-05-12T13:35:36.700,1778560536.700201273,19,true,true,simple_bool,,black,red,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T13:35:36.701,1778560536.701079369,19,true,true,simple_bool,,black,red,black,word_4colors,3,read_word,/stroop/result,true
2026-05-12T13:35:36.704,1778560536.704350233,19,true,true,manager,704,black,red,black,word_4colors,3,read_word,/stroop/answer_detail,id=19;answer=true;source=manager;response_time_ms=704;word=black;ink=red;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-12T13:35:38.164,1778560538.164702892,20,true,true,simple_bool,,blue,black,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T13:35:38.165,1778560538.165667295,20,true,true,simple_bool,,blue,black,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-12T13:35:38.166,1778560538.166902304,20,true,true,manager,967,blue,black,blue,word_4colors,3,read_word,/stroop/answer_detail,id=20;answer=true;source=manager;response_time_ms=967;word=blue;ink=black;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-12T13:35:39.336,1778560539.336665392,21,true,true,simple_bool,,red,black,red,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T13:35:39.338,1778560539.338740110,21,true,true,simple_bool,,red,black,red,word_4colors,3,read_word,/stroop/result,true
2026-05-12T13:35:39.340,1778560539.340375900,21,true,true,manager,938,red,black,red,word_4colors,3,read_word,/stroop/answer_detail,id=21;answer=true;source=manager;response_time_ms=938;word=red;ink=black;ground_truth=red;phase=word_4colors;screen=3;task=read_word
2026-05-12T13:35:40.489,1778560540.489691019,22,true,true,simple_bool,,black,green,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T13:35:40.492,1778560540.492017031,22,true,true,simple_bool,,black,green,black,word_4colors,3,read_word,/stroop/result,true
2026-05-12T13:35:40.493,1778560540.493408680,22,true,true,manager,891,black,green,black,word_4colors,3,read_word,/stroop/answer_detail,id=22;answer=true;source=manager;response_time_ms=891;word=black;ink=green;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-12T13:35:41.695,1778560541.695313931,23,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T13:35:41.696,1778560541.696268320,23,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/result,true
2026-05-12T13:35:41.697,1778560541.697281122,23,true,true,manager,896,green,red,green,word_4colors,3,read_word,/stroop/answer_detail,id=23;answer=true;source=manager;response_time_ms=896;word=green;ink=red;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-12T13:35:42.892,1778560542.892386436,24,true,true,manager,892,blue,green,blue,word_4colors,3,read_word,/stroop/answer_detail,id=24;answer=true;source=manager;response_time_ms=892;word=blue;ink=green;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-12T13:35:42.893,1778560542.893629074,24,true,true,simple_bool,,blue,green,blue,word_4colors,3,read_word,/stroop/answer,true
