local_time,ros_time_sec,trial_id,screen,phase,task,duration_ms,word,ink,ground_truth,raw_message
2026-05-12T21:05:59.314,1778587559.314496756,1,2,pretest_color_congruent,read_color,1000,purple,purple,purple,id=1;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=purple;ink=purple;ground_truth=purple
2026-05-12T21:06:00.315,1778587560.315188885,2,2,pretest_color_congruent,read_color,1000,black,black,black,id=2;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=black;ink=black;ground_truth=black
2026-05-12T21:06:01.316,1778587561.315987110,3,2,pretest_color_congruent,read_color,1000,orange,orange,orange,id=3;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=orange;ink=orange;ground_truth=orange
2026-05-12T21:06:02.317,1778587562.317639589,4,2,pretest_color_congruent,read_color,1000,blue,blue,blue,id=4;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=blue;ink=blue;ground_truth=blue
2026-05-12T21:06:03.318,1778587563.318320990,5,2,pretest_color_congruent,read_color,1000,brown,brown,brown,id=5;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=brown;ink=brown;ground_truth=brown
2026-05-12T21:06:04.319,1778587564.319139242,6,2,pretest_color_congruent,read_color,1000,pink,pink,pink,id=6;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=pink;ink=pink;ground_truth=pink
2026-05-12T21:06:05.319,1778587565.319662333,7,2,pretest_color_congruent,read_color,1000,orange,orange,orange,id=7;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=orange;ink=orange;ground_truth=orange
2026-05-12T21:06:06.320,1778587566.320612431,8,2,pretest_color_congruent,read_color,1000,red,red,red,id=8;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=red;ink=red;ground_truth=red
2026-05-12T21:06:07.320,1778587567.320550442,9,2,pretest_color_congruent,read_color,1000,blue,blue,blue,id=9;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=blue;ink=blue;ground_truth=blue
2026-05-12T21:06:08.321,1778587568.321074724,10,2,pretest_color_congruent,read_color,1000,purple,purple,purple,id=10;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=purple;ink=purple;ground_truth=purple
2026-05-12T21:06:09.321,1778587569.321407080,11,2,pretest_color_congruent,read_color,1000,red,red,red,id=11;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=red;ink=red;ground_truth=red
2026-05-12T21:06:10.321,1778587570.321748972,12,2,pretest_color_congruent,read_color,1000,pink,pink,pink,id=12;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=pink;ink=pink;ground_truth=pink
2026-05-12T21:06:11.322,1778587571.322065592,13,2,pretest_color_congruent,read_color,1000,black,black,black,id=13;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=black;ink=black;ground_truth=black
2026-05-12T21:06:12.322,1778587572.322511435,14,2,pretest_color_congruent,read_color,1000,green,green,green,id=14;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=green;ink=green;ground_truth=green
2026-05-12T21:06:13.323,1778587573.323008299,15,2,pretest_color_congruent,read_color,1000,green,green,green,id=15;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=green;ink=green;ground_truth=green
2026-05-12T21:06:29.774,1778587589.774198532,16,3,word_4colors,read_word,1200,black,green,black,id=16;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=green;ground_truth=black
2026-05-12T21:06:31.114,1778587591.114043474,17,3,word_4colors,read_word,1200,red,blue,red,id=17;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=red;ink=blue;ground_truth=red
2026-05-12T21:06:32.314,1778587592.314794540,18,3,word_4colors,read_word,1200,blue,red,blue,id=18;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=blue;ink=red;ground_truth=blue
2026-05-12T21:06:33.515,1778587593.515042305,19,3,word_4colors,read_word,1200,green,red,green,id=19;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=green;ink=red;ground_truth=green
2026-05-12T21:06:34.715,1778587594.715653658,20,3,word_4colors,read_word,1200,green,red,green,id=20;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=green;ink=red;ground_truth=green
2026-05-12T21:06:35.916,1778587595.915944099,21,3,word_4colors,read_word,1200,black,green,black,id=21;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=green;ground_truth=black
2026-05-12T21:06:37.116,1778587597.116615534,22,3,word_4colors,read_word,1200,red,blue,red,id=22;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=red;ink=blue;ground_truth=red
2026-05-12T21:06:38.317,1778587598.317126513,23,3,word_4colors,read_word,1200,blue,black,blue,id=23;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=blue;ink=black;ground_truth=blue
2026-05-12T21:06:39.517,1778587599.517802715,24,3,word_4colors,read_word,1200,green,blue,green,id=24;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=green;ink=blue;ground_truth=green
2026-05-12T21:06:40.718,1778587600.718424320,25,3,word_4colors,read_word,1200,black,green,black,id=25;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=green;ground_truth=black
2026-05-12T21:06:41.918,1778587601.918861866,26,3,word_4colors,read_word,1200,red,black,red,id=26;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=red;ink=black;ground_truth=red
2026-05-12T21:06:43.119,1778587603.119625092,27,3,word_4colors,read_word,1200,blue,green,blue,id=27;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=blue;ink=green;ground_truth=blue
2026-05-12T21:06:44.320,1778587604.320686102,28,3,word_4colors,read_word,1200,black,blue,black,id=28;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=blue;ground_truth=black
2026-05-12T21:06:45.521,1778587605.521057129,29,3,word_4colors,read_word,1200,blue,black,blue,id=29;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=blue;ink=black;ground_truth=blue
2026-05-12T21:06:46.721,1778587606.721601248,30,3,word_4colors,read_word,1200,red,green,red,id=30;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=red;ink=green;ground_truth=red
2026-05-12T21:06:53.053,1778587613.053755283,31,3,color_4colors,read_color,1200,red,green,green,id=31;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=red;ink=green;ground_truth=green
2026-05-12T21:06:54.390,1778587614.390056372,32,3,color_4colors,read_color,1200,green,red,red,id=32;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=green;ink=red;ground_truth=red
2026-05-12T21:06:55.590,1778587615.590401888,33,3,color_4colors,read_color,1200,green,blue,blue,id=33;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=green;ink=blue;ground_truth=blue
2026-05-12T21:06:56.791,1778587616.791234255,34,3,color_4colors,read_color,1200,blue,black,black,id=34;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=blue;ink=black;ground_truth=black
2026-05-12T21:06:57.991,1778587617.991483450,35,3,color_4colors,read_color,1200,black,red,red,id=35;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=black;ink=red;ground_truth=red
2026-05-12T21:06:59.192,1778587619.191983461,36,3,color_4colors,read_color,1200,blue,black,black,id=36;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=blue;ink=black;ground_truth=black
2026-05-12T21:07:00.392,1778587620.392580748,37,3,color_4colors,read_color,1200,black,blue,blue,id=37;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=black;ink=blue;ground_truth=blue
2026-05-12T21:07:01.593,1778587621.593305588,38,3,color_4colors,read_color,1200,blue,green,green,id=38;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=blue;ink=green;ground_truth=green
2026-05-12T21:07:02.793,1778587622.793617725,39,3,color_4colors,read_color,1200,green,blue,blue,id=39;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=green;ink=blue;ground_truth=blue
2026-05-12T21:07:03.994,1778587623.994092464,40,3,color_4colors,read_color,1200,black,green,green,id=40;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=black;ink=green;ground_truth=green
